state,candidate_name,pct_estimate,pct_trend_adjusted,date
California,Biden,61.62906,61.62459,03/11/2020
California,Trump,32.28521,32.43615,03/11/2020
California,Biden,39.66637,39.82458,03/11/2020
California,Trump,40.53946,40.671,03/11/2020
California,Biden,61.62906,61.62459,02/11/2020
California,Trump,32.28521,32.43615,02/11/2020
California,Biden,39.66637,39.82458,02/11/2020
California,Trump,40.53946,40.671,02/11/2020
California,Biden,61.22227,61.37515,01/11/2020
California,Trump,33.08964,33.47605,01/11/2020
California,Biden,40.68048,40.38963,01/11/2020
California,Trump,40.90768,40.61058,01/11/2020
California,Biden,61.18423,61.35727,31/10/2020
California,Trump,33.04596,33.41549,31/10/2020
California,Biden,40.73638,40.39803,31/10/2020
California,Trump,41.00565,40.60171,31/10/2020
California,Biden,61.06866,61.23666,30/10/2020
California,Trump,32.76677,33.13388,30/10/2020
California,Biden,40.89079,40.5685,30/10/2020
California,Trump,40.60065,40.27597,30/10/2020
California,Biden,60.85492,61.08167,29/10/2020
California,Trump,31.65203,32.11934,29/10/2020
California,Biden,40.85013,40.55521,29/10/2020
California,Trump,40.75506,40.13543,29/10/2020
California,Biden,60.86679,61.10602,28/10/2020
California,Trump,31.63454,31.92103,28/10/2020
California,Biden,40.8706,40.54844,28/10/2020
California,Trump,40.77294,40.27199,28/10/2020
California,Biden,60.97447,61.30638,27/10/2020
California,Trump,31.52331,31.78967,27/10/2020
California,Biden,40.96263,40.7237,27/10/2020
California,Trump,40.95547,40.16413,27/10/2020
California,Biden,60.40653,60.84655,26/10/2020
California,Trump,31.53406,31.75727,26/10/2020
California,Biden,40.89695,40.60179,26/10/2020
California,Trump,40.96593,40.18598,26/10/2020
California,Biden,60.39538,60.80483,25/10/2020
California,Trump,31.74646,31.9241,25/10/2020
California,Biden,40.93268,40.4621,25/10/2020
California,Trump,40.95945,40.25384,25/10/2020
California,Biden,60.414,60.83049,24/10/2020
California,Trump,31.50685,31.64109,24/10/2020
California,Biden,40.81808,40.32494,24/10/2020
California,Trump,40.84332,40.15295,24/10/2020
California,Biden,60.56695,61.03755,23/10/2020
California,Trump,31.4713,31.41809,23/10/2020
California,Biden,41.23369,40.55918,23/10/2020
California,Trump,41.39457,39.96762,23/10/2020
California,Biden,60.58076,61.01771,22/10/2020
California,Trump,31.45908,31.30071,22/10/2020
California,Biden,41.26545,40.54676,22/10/2020
California,Trump,41.44561,39.97393,22/10/2020
California,Biden,61.1991,61.85056,21/10/2020
California,Trump,31.38707,31.23748,21/10/2020
California,Biden,41.30716,40.44834,21/10/2020
California,Trump,41.62417,39.74067,21/10/2020
California,Biden,61.19347,61.88295,20/10/2020
California,Trump,31.43768,31.14456,20/10/2020
California,Biden,41.37886,40.49168,20/10/2020
California,Trump,41.68317,39.7048,20/10/2020
California,Biden,61.3742,62.24266,19/10/2020
California,Trump,31.49402,31.19777,19/10/2020
California,Biden,41.50008,40.58693,19/10/2020
California,Trump,41.84072,39.7451,19/10/2020
California,Biden,61.38473,62.30211,18/10/2020
California,Trump,31.35086,31.10326,18/10/2020
California,Biden,41.66274,40.6706,18/10/2020
California,Trump,42.09069,39.89015,18/10/2020
California,Biden,61.39834,62.29893,17/10/2020
California,Trump,31.33309,31.01913,17/10/2020
California,Biden,41.68669,40.62123,17/10/2020
California,Trump,42.03793,39.80282,17/10/2020
California,Biden,61.24966,62.0892,16/10/2020
California,Trump,31.49438,31.19567,16/10/2020
California,Biden,41.6235,40.50816,16/10/2020
California,Trump,42.01698,39.76805,16/10/2020
California,Biden,61.4317,62.34164,15/10/2020
California,Trump,31.50762,31.31793,15/10/2020
California,Biden,41.64038,40.47095,15/10/2020
California,Trump,42.05999,39.75391,15/10/2020
California,Biden,61.27917,61.97225,14/10/2020
California,Trump,31.49615,31.25205,14/10/2020
California,Biden,41.60344,40.39231,14/10/2020
California,Trump,42.08405,39.71701,14/10/2020
