,Acronym,Meaning
0,*4u,Kiss for you
1,*67,unknown
2,*eg*,evil grin
3,07734,hello
4,0day,software illegally obtained before it was released
5,0noe,Oh No
6,0vr,over
7,10q,thank you
8,10tacle,Tentacle
9,10x,thanks
10,12b,wannabe
11,1337,elite
12,133t,elite
13,13itch,b***h
14,143,I love you
15,187,murder
16,1ab,wannabe
17,1daful,wonderful
18,1dering,wondering
19,1nce,once
20,1sec,one second
21,2,too
22,2b,to be
23,2b4u,too bad for you
24,2bad4u2,too bad for you too 
25,2bh,to be honest
26,2da,to the
27,2dae,today
28,2day,today
29,2ditd,today is the day
30,2ez,too easy
31,2g2b4g,To good to be forgotten
32,2g2bt,too good to be true
33,2ge4,Together
34,2getha,together 
35,2gether,together
36,2gethr,together
37,2getr,Together
38,2h2h,too hot to handle
39,2h4u,too hot for you
40,2k0,2000
41,2k1,2001
42,2k14,2014
43,2k2,2002
44,2k3,2003
45,2k4,2004
46,2k5,2005
47,2k6,2006
48,2k7,2007
49,2k8,2008
50,2k9,2009
51,2l8,too late
52,2m,tomorrow
53,2m4u,too much for you
54,2ma,Tomorrow
55,2maro,tomorrow
56,2mmrw,tomorrow
57,2mo,tomorrow
58,2mora,tomorrow
59,2moro,tomorrow
60,2morow,tomorrow
61,2morro,tomorrow
62,2morrow,tommorrow
63,2moz,tomorrow
64,2mozz,tomorrow
65,2mro,tomorrow
66,2mrw,tomorrow
67,2mw,tomorrow
68,2mz,tomorrow
69,2night,tonight
70,2nite,tonight
71,2nyt,tonight
72,2o4s,too old for sex
73,2qt,too cute
74,2sday,tuesday
75,2tali,totally
76,2tm,to the max
77,2trd,too tired
78,2u2,To you too
79,301ing,referring traffic to another site
80,304,hoe
81,31337,elite
82,313373,elite
83,31ee7,elite
84,3arc,Treyarch
85,3q,thank you
86,3u,thank you
87,3vi1,evil
88,3y3 y4m,I am
89,4,for
90,404,Clueless
91,42n8,fortunate
92,4311,hell
93,4ax0r,hacker
94,4col,For crying out loud
95,4e&e,forever and ever
96,4eva,forever
97,4ever,forever
98,4evr,for ever
99,4evs,forever
100,4fs,for f**k's sake
101,4g8,forget
102,4gai,forget about it
103,4geit,forget it
104,4get,forget
105,4getu,forget you
106,4give,forgive
107,4got,forgot
108,4gv,forgive
109,4head,forehead
110,4hoa,four horsemen of the apocalypse
111,4ker,f**ker
112,4king,f**king
113,4lyf3,for life
114,4lyfe,for life
115,4m,form
116,4n,Phone
117,4q,f**k you
118,4r3al,for real
119,4rm,from
120,4sho,for sure
121,4tlog,for the love of god
122,4tw,for the win
123,4u,for you
124,4umb,For You Maybe
125,4us,for us
126,4ward,forward
127,4wd,forward
128,4yeo,For Your Eyes Only
129,5-oh,cop
130,53x,sex
131,5h17,s**t
132,5n,fine
133,5o,police
134,6flx,X-Rated movie (sex flick)
135,6up,cops in area
136,6y,sexy
137,7734,hell
138,7uck,f**k
139,8008,boob
140,8008135,boobies
141,80085,Boobs
142,81tc#,b***h
143,9009l3,Google
144,911sc,emergency let's stop chatting
145,9t,night
146,<3,love
147,[email protected],Where are you?
148,?up,what's up?
149,?^,what's up?
150,@,at
151,@$$,ass
152,@$$ #013,ass hole
153,@$$hole,a**h**e
154,@h,a**h**e
155,^5,high five
156,a$$,ass
157,a&f,always and forever
158,a'ight,alright
159,a.i.m.,aol instant messanger
160,a/l,age and location
161,a/m,away message
162,a/s/l,"age,sex,location"
163,a/s/l/p,age/sex/location/picture
164,a/s/l/r,"age, sex, location, race"
165,a1t,anyone there
166,A2A,Ask to Answer
167,a3,"anyplace, anywhere, anytime"
168,a4u,all for you
169,A7X,Avenged Sevenfold
170,aaaaa,American Assosciation Against Acronym Abuse
171,aabf,as a best friend
172,aaf,as a friend
173,aak,Alive and Kicking
174,aamof,as a matter of fact
175,aatf,always and totally forever
176,aatw,all around the world
177,abd,Already Been Done
178,abend,absent by enforced net deprivation
179,abft,About f**king Time
180,aboot,about
181,abreev,abbreviation
182,absnt,absent
183,abt,about
184,abwt,about
185,acc,account
186,acct,account
187,acgaf,Absolutely couldn't give a f**k
188,ack,acknowledged
189,addy,address
190,adhd,Attention Deficit Hyperactivity Disorder
191,adl,all day long
192,admin,administrator
193,adn,any day now
194,aeap,as early as possible
195,af,assface
196,afaiaa,As Far As I Am Aware
197,afaic,as far as I'm concerned
198,afaicr,As Far As I Can Remember
199,afaicr4,as far as i can remember for
200,afaics,as far as I can see
201,afaict,as far as I can tell
202,afaik,as far as I know
203,afair,as far as I recall
204,afaiu,As far as I understand
205,afc,away from computer
206,afcpmgo,away from computer parents may go on
207,afg,away from game
208,afk,away from keyboard
209,afkb,away from keyboard
210,agn,again
211,ah,ass hole
212,ahole,a**h**e
213,ai,Artificial Intelligence
214,aiadw,ALL IN A DAYS WORK
215,aiamu,and I'm a monkey's uncle
216,aicmfp,and I claim my five pounds
217,aight,Alright
218,aightz,alright
219,aiic,as if I care
220,aiid,and if I did
221,aiight,all right
222,aim,AOL instant messanger
223,aimmc,Am I making myself clear 
224,ain't,am not
225,aite,Alright
226,aitr,Adult in the room
227,aiui,as I understand it
228,aiws,as i was saying
229,ajax,Asynchronous Javascript and XML
230,aka,also known as
231,akp,Alexander King Project
232,akpcep,Alexander King Project Cultural Engineering Project
233,alaylm,As long as you love me
234,alaytm,as long as you tell me
235,alol,actually laughing out loud
236,alot,a lot
237,alotbsol,always look on the bright side of life
238,alright,all right
239,alrite,Alright
240,alrt,alright
241,alryt,alright
242,ama,ask me anything
243,amf,adios motherf**ker
244,amiic,ask me if i care
245,amiigaf,ask me if i give a f**k
246,aml,All My Love
247,ams,Ask me something
248,amsp,ask me something personal
249,anim8,animate
250,anl,all night long
251,anlsx,Anal Sex
252,anon,anonymous
253,anuda,another
254,anw,anyways
255,anwwi,alright now where was i
256,any1,Anyone
257,anywaz,anyways
258,aob,any other business
259,aoc,age of consent
260,aoe,Age Of Empires
261,aon,all or nothing
262,aos,adult over shoulder
263,aota,all of the above
264,aoto,Amen on that one
265,aoys,angel on your shoulder
266,api,application program interface
267,apoc,apocalypse
268,apod,Another Point Of Discussion
269,app,application
270,appt,appointment
271,aprece8,appreciate
272,apreci8,appreciate
273,apu,as per usual
274,aqap,as quick as possible
275,ar,are
276,arnd,around
277,arse,ass
278,arsed,bothered
279,arvo,afternoon
280,asafp,as soon as f**king possible
281,asaik,as soon as I know
282,asap,as soon as possible
283,asarbambtaa,All submissions are reviewed by a moderator before they are added.
