Emoticon,Meaning,Sentiment
:‑),Smiley/ Happy,Positive
:),Smiley/ Happy,Positive
:-],Smiley/ Happy,Positive
:],Smiley/ Happy,Positive
:-3,Smiley/ Happy,Positive
:3,Smiley/ Happy,Positive
:->,Smiley/ Happy,Positive
:>,Smiley/ Happy,Positive
8-),Smiley/ Happy,Positive
8),Smiley/ Happy,Positive
:-},Smiley/ Happy,Positive
:},Smiley/ Happy,Positive
:o),Smiley/ Happy,Positive
:c),Smiley/ Happy,Positive
:^),Smiley/ Happy,Positive
=],Smiley/ Happy,Positive
=),Smiley/ Happy,Positive
:-)),Smiley/ Happy,Positive
:‑D,Laughing/ Surprise,Positive
:D,Laughing/ Surprise,Positive
8‑D,Laughing/ Surprise,Positive
8D,Laughing/ Surprise,Positive
x‑D,Laughing/ Surprise,Positive
xD,Laughing/ Surprise,Positive
X‑D,Laughing/ Surprise,Positive
XD,Laughing/ Surprise,Positive
#NAME?,Laughing/ Surprise,Positive
3,Laughing/ Surprise,Positive
B^D,Laughing/ Surprise,Positive
:'‑),Tears of Happiness,Positive
:'),Tears of Happiness,Positive
:‑(,Sad/ Angry,Negative
:(,Sad/ Angry,Negative
:‑c,Sad/ Angry,Negative
:c,Sad/ Angry,Negative
:‑<,Sad/ Angry,Negative
:<,Sad/ Angry,Negative
:‑[,Sad/ Angry,Negative
:[,Sad/ Angry,Negative
:-||,Sad/ Angry,Negative
>:[,Sad/ Angry,Negative
:{,Sad/ Angry,Negative
:@,Sad/ Angry,Negative
;(,Sad/ Angry,Negative
:'‑(,Crying,Negative
:'(,Crying,Negative
D‑':,Horror/ Sadness,Negative
D:<,Horror/ Sadness,Negative
D:,Horror/ Sadness,Negative
D8,Horror/ Sadness,Negative
D;,Horror/ Sadness,Negative
D=,Horror/ Sadness,Negative
DX,Horror/ Sadness,Negative
